Longitude,Latitude,CNTY_NM,
-95.42621,32.08434,Anderson,"(-95.4262100049999, 32.084339999)"
-95.42596,32.08423,Anderson,"(-95.4259599989999, 32.084229997)"
-95.42572,32.08404,Anderson,"(-95.4257199969999, 32.084040001)"
-95.42559,32.084,Anderson,"(-95.4255900009999, 32.083999997)"
-95.42551,32.08398,Anderson,"(-95.4255099969999, 32.083979999)"
-95.42513,32.08396,Anderson,"(-95.4251300039999, 32.083959996)"
-95.42495,32.08395,Anderson,"(-95.4249499979999, 32.08395)"
-95.42445,32.08386,Anderson,"(-95.4244499989999, 32.083859999)"
-95.42435,32.08383,Anderson,"(-95.4243499999999, 32.083830003)"
-95.42415,32.08377,Anderson,"(-95.4241500039999, 32.083770001)"
-95.42398,32.08356,Anderson,"(-95.4239799989999, 32.083560001)"
-95.42388,32.08323,Anderson,"(-95.4238799989999, 32.083230001)"
-95.42379,32.08294,Anderson,"(-95.4237899989999, 32.082940004)"
-95.42377,32.08235,Anderson,"(-95.4237699959999, 32.08235)"
-95.42388,32.08176,Anderson,"(-95.4238800019999, 32.081759998)"
-95.42396,32.08096,Anderson,"(-95.4239599959999, 32.080959999)"
-95.42405,32.08066,Anderson,"(-95.4240499999999, 32.080659999)"
-95.42432,32.08027,Anderson,"(-95.4243200049999, 32.08027)"
-95.42472,32.07964,Anderson,"(-95.4247200019999, 32.079639995)"
-95.42539,32.0784,Anderson,"(-95.4253899979999, 32.078400001)"
-95.42569,32.07774,Anderson,"(-95.4256899989999, 32.077739999)"
-95.42603999,32.07697,Anderson,"(-95.4260399949999, 32.076969998)"
-95.42623,32.07676,Anderson,"(-95.4262299989999, 32.07676)"
-95.42666,32.07665,Anderson,"(-95.4266600019999, 32.076650001)"
-95.42692,32.07666,Anderson,"(-95.4269199979999, 32.076659998)"
-95.42745999,32.07668,Anderson,"(-95.4274599949999, 32.076679999)"
-95.4282,32.07666001,Anderson,"(-95.4282000039999, 32.076660005)"
-95.42845,32.0767,Anderson,"(-95.4284499979999, 32.076700002)"
-95.42857,32.07672,Anderson,"(-95.4285699999999, 32.076720001)"
-95.42865,32.07675,Anderson,"(-95.4286499989999, 32.07675)"
-95.42887,32.07684,Anderson,"(-95.4288699969999, 32.076839999)"
-95.42904,32.07694,Anderson,"(-95.4290400019999, 32.076940001)"
-95.42909,32.07697,Anderson,"(-95.4290899989999, 32.076970001)"
-95.42937,32.07702,Anderson,"(-95.4293699969999, 32.07702)"
-95.42944,32.07695,Anderson,"(-95.4294400019999, 32.07695)"
-95.42951,32.0769,Anderson,"(-95.4295100019999, 32.076900001)"
-95.42957,32.07662,Anderson,"(-95.4295699989999, 32.076620002)"
-95.42947,32.07644,Anderson,"(-95.4294699979999, 32.076439999)"
-95.42939,32.07624,Anderson,"(-95.4293899989999, 32.076240002)"
-95.42942,32.07611,Anderson,"(-95.4294200039999, 32.07611)"
-95.42953,32.07597,Anderson,"(-95.4295299989999, 32.075969998)"
-95.42962,32.07592,Anderson,"(-95.4296200029999, 32.075920004)"
-95.42968,32.07587,Anderson,"(-95.4296800009999, 32.07587)"
-95.42997,32.07574,Anderson,"(-95.4299700019999, 32.075740003)"
-95.43014,32.07566,Anderson,"(-95.4301400039999, 32.075660002)"
-95.43032,32.07559,Anderson,"(-95.4303200029999, 32.075589996)"
-95.43048,32.07548,Anderson,"(-95.4304799979999, 32.075479997)"
-95.43093,32.07507,Anderson,"(-95.4309300019999, 32.075069998)"
-95.431,32.07493,Anderson,"(-95.4310000009999, 32.074929997)"
-95.43118,32.07478,Anderson,"(-95.4311799999999, 32.074779996)"
-95.43138,32.07451,Anderson,"(-95.4313799999999, 32.074509998)"
-95.43157,32.07411,Anderson,"(-95.4315700039999, 32.074110001)"
-95.43165,32.07367,Anderson,"(-95.4316499959999, 32.073670001)"
-95.43156,32.07322,Anderson,"(-95.4315599979999, 32.073219998)"
-95.43148,32.07291,Anderson,"(-95.4314800009999, 32.07291)"
-95.43129,32.07256,Anderson,"(-95.4312900019999, 32.072560004)"
-95.4312,32.07227,Anderson,"(-95.4311999959999, 32.07227)"
-95.43118,32.07201,Anderson,"(-95.4311799959999, 32.072009998)"
-95.43122,32.07173,Anderson,"(-95.4312199999999, 32.071729996)"
-95.43141001,32.07148,Anderson,"(-95.4314100059999, 32.071479999)"
-95.43162,32.07129,Anderson,"(-95.4316199989999, 32.071289999)"
-95.43179,32.07121,Anderson,"(-95.4317900029999, 32.071210003)"
-95.43197,32.07113,Anderson,"(-95.4319700029999, 32.07113)"
